pair,tier,time,vol_z,pnl,hours_held
ALLOUSDT,micro,2025-11-20 06:00:00+00:00,4.82,-0.05500000000000015,9
ALLOUSDT,micro,2026-01-25 07:00:00+00:00,3.18,-0.05500000000000004,9
ALLOUSDT,micro,2026-05-21 10:00:00+00:00,4.72,-0.05500000000000015,5
ALLOUSDT,micro,2026-05-21 17:00:00+00:00,3.73,0.10999999999999999,19
ALLOUSDT,micro,2026-05-22 16:00:00+00:00,3.19,-0.05500000000000004,6
ALLOUSDT,micro,2026-05-28 05:00:00+00:00,3.25,0.10999999999999999,9
APTUSDT,mid,2025-05-09 08:00:00+00:00,3.74,0.0152251143158636,36
APTUSDT,mid,2025-05-11 03:00:00+00:00,3.4,-0.05499999999999993,4
APTUSDT,mid,2025-05-12 07:00:00+00:00,3.43,-0.05500000000000004,11
APTUSDT,mid,2025-05-13 19:00:00+00:00,3.31,-0.05499999999999993,17
APTUSDT,mid,2025-05-21 17:00:00+00:00,3.24,0.10999999999999999,34
APTUSDT,mid,2025-06-20 17:00:00+00:00,3.18,0.009999999999999901,30
APTUSDT,mid,2025-06-25 02:00:00+00:00,4.49,-0.05500000000000004,12
APTUSDT,mid,2025-06-27 07:00:00+00:00,4.03,-0.05500000000000004,8
APTUSDT,mid,2025-08-08 00:00:00+00:00,3.7,0.07467900133749439,36
APTUSDT,mid,2025-08-24 19:00:00+00:00,3.2,-0.05500000000000015,13
APTUSDT,mid,2025-09-17 18:00:00+00:00,3.73,0.06237850787132116,36
APTUSDT,mid,2025-09-30 21:00:00+00:00,3.03,0.10272862709145081,36
APTUSDT,mid,2025-10-03 16:00:00+00:00,3.08,-0.004812628817687843,36
APTUSDT,mid,2025-12-20 10:00:00+00:00,3.58,-0.05500000000000004,27
APTUSDT,mid,2025-12-23 06:00:00+00:00,3.27,0.008871374527112178,36
APTUSDT,mid,2025-12-31 07:00:00+00:00,3.19,0.07847826086956522,36
APTUSDT,mid,2026-01-07 01:00:00+00:00,3.06,-0.05500000000000004,29
APTUSDT,mid,2026-01-20 10:00:00+00:00,3.26,-0.05500000000000015,12
APTUSDT,mid,2026-02-06 12:00:00+00:00,4.35,0.05040616246498598,36
APTUSDT,mid,2026-02-23 09:00:00+00:00,3.49,-0.05500000000000004,8
APTUSDT,mid,2026-03-16 14:00:00+00:00,3.8,0.011080402010050231,36
APTUSDT,mid,2026-03-23 23:00:00+00:00,3.44,0.005289990645463209,36
APTUSDT,mid,2026-04-17 10:00:00+00:00,3.08,-0.05500000000000004,32
APTUSDT,mid,2026-04-22 05:00:00+00:00,3.69,-0.030210084033613357,36
APTUSDT,mid,2026-04-25 07:00:00+00:00,3.26,0.010432098765432166,36
APTUSDT,mid,2026-04-28 05:00:00+00:00,3.18,0.006316872427983515,36
APTUSDT,mid,2026-04-30 16:00:00+00:00,3.12,0.004109311740890691,36
APTUSDT,mid,2026-05-05 18:00:00+00:00,4.1,0.06967908902691489,36
APTUSDT,mid,2026-05-10 20:00:00+00:00,5.94,-0.05500000000000004,6
APTUSDT,mid,2026-05-17 13:00:00+00:00,3.12,-0.05500000000000004,10
APTUSDT,mid,2026-06-06 14:00:00+00:00,3.16,0.002587253414264028,36
ARBUSDT,mid,2025-02-01 03:00:00+00:00,4.01,-0.05500000000000004,16
ARBUSDT,mid,2025-02-25 07:00:00+00:00,3.21,0.059088707621718035,36
ARBUSDT,mid,2025-04-02 20:00:00+00:00,3.11,-0.05500000000000015,2
ARBUSDT,mid,2025-05-07 18:00:00+00:00,3.13,0.11000000000000021,24
ARBUSDT,mid,2025-05-09 09:00:00+00:00,3.39,0.10999999999999999,33
ARBUSDT,mid,2025-05-11 02:00:00+00:00,6.4,-0.05500000000000004,4
ARBUSDT,mid,2025-05-12 05:00:00+00:00,3.02,-0.05500000000000004,13
ARBUSDT,mid,2025-05-21 17:00:00+00:00,3.11,0.08434376577486125,36
ARBUSDT,mid,2025-06-30 08:00:00+00:00,3.72,-0.05500000000000004,7
ARBUSDT,mid,2025-07-01 10:00:00+00:00,3.12,0.06898354160316977,36
ARBUSDT,mid,2025-07-18 08:00:00+00:00,3.04,-0.05500000000000004,12
ARBUSDT,mid,2025-08-24 10:00:00+00:00,3.04,-0.05500000000000015,24
ARBUSDT,mid,2025-09-17 18:00:00+00:00,3.05,0.05919354838709679,36
ARBUSDT,mid,2025-09-25 15:00:00+00:00,4.53,-0.05500000000000004,2
ARBUSDT,mid,2025-10-13 11:00:00+00:00,3.1,0.007385726924211138,36
ARBUSDT,mid,2025-10-29 18:00:00+00:00,3.84,-0.05500000000000015,18
ARBUSDT,mid,2025-11-12 22:00:00+00:00,3.16,-0.05500000000000004,20
ARBUSDT,mid,2025-11-14 23:00:00+00:00,3.29,0.002572570466975126,36
ARBUSDT,mid,2026-01-07 11:00:00+00:00,3.8,-0.05500000000000004,19
ARBUSDT,mid,2026-01-16 04:00:00+00:00,3.31,0.06831723804925172,36
ARBUSDT,mid,2026-01-30 01:00:00+00:00,3.12,-0.05500000000000015,36
ARBUSDT,mid,2026-02-02 01:00:00+00:00,3.11,-0.05500000000000015,4
ARBUSDT,mid,2026-02-02 06:00:00+00:00,3.47,-0.05500000000000004,35
ARBUSDT,mid,2026-02-07 16:00:00+00:00,3.1,-0.033286189683860205,36
ARBUSDT,mid,2026-02-20 05:00:00+00:00,3.08,-0.05500000000000004,7
ARBUSDT,mid,2026-02-27 10:00:00+00:00,3.55,-0.05499999999999993,3
ARBUSDT,mid,2026-04-08 05:00:00+00:00,3.16,-0.0030601357904945737,36
ARBUSDT,mid,2026-04-11 04:00:00+00:00,3.52,-0.05500000000000004,26
ARBUSDT,mid,2026-04-16 07:00:00+00:00,3.42,0.09143812709030097,36
ARBUSDT,mid,2026-05-01 02:00:00+00:00,3.33,-0.017861736334405017,36
ARBUSDT,mid,2026-05-03 10:00:00+00:00,3.14,-0.01772264631043263,36
ARBUSDT,mid,2026-05-09 08:00:00+00:00,3.43,-0.05500000000000004,7
ARBUSDT,mid,2026-05-10 14:00:00+00:00,3.76,-0.021254416961130725,36
ARBUSDT,mid,2026-05-17 23:00:00+00:00,3.17,-0.017017167381974337,36
ARBUSDT,mid,2026-06-07 06:00:00+00:00,3.37,-0.001381182147165312,36
ARBUSDT,mid,2026-06-29 03:00:00+00:00,3.03,-0.022173051519154715,36
BIOUSDT,tiny,2025-04-02 20:00:00+00:00,3.34,-0.05499999999999993,2
BIOUSDT,tiny,2025-04-17 10:00:00+00:00,4.37,-0.05500000000000004,1
BIOUSDT,tiny,2025-04-21 06:00:00+00:00,3.18,-0.05500000000000004,17
BIOUSDT,tiny,2025-07-11 02:00:00+00:00,3.46,-0.05500000000000015,19
BIOUSDT,tiny,2025-07-18 07:00:00+00:00,3.28,-0.05500000000000004,4
BIOUSDT,tiny,2025-07-30 16:00:00+00:00,3.47,-0.05500000000000004,3
BIOUSDT,tiny,2025-08-08 00:00:00+00:00,3.2,-0.05500000000000004,3
BIOUSDT,tiny,2025-12-07 00:00:00+00:00,4.59,-0.05500000000000004,12
BIOUSDT,tiny,2025-12-12 06:00:00+00:00,3.79,-0.05500000000000004,9
BIOUSDT,tiny,2025-12-14 07:00:00+00:00,3.05,-0.05500000000000004,10
BIOUSDT,tiny,2025-12-26 06:00:00+00:00,5.68,0.03834821428571445,36
BIOUSDT,tiny,2026-01-11 00:00:00+00:00,3.33,-0.05500000000000015,32
BIOUSDT,tiny,2026-01-16 23:00:00+00:00,3.19,-0.05500000000000015,26
BIOUSDT,tiny,2026-02-20 11:00:00+00:00,3.73,-0.05500000000000004,2
BIOUSDT,tiny,2026-02-20 15:00:00+00:00,3.26,0.009999999999999901,9
BIOUSDT,tiny,2026-04-14 18:00:00+00:00,3.3,0.10999999999999999,15
BIOUSDT,tiny,2026-04-15 16:00:00+00:00,3.06,0.10999999999999999,4
BIOUSDT,tiny,2026-04-16 11:00:00+00:00,3.27,0.10999999999999999,2
BIOUSDT,tiny,2026-04-17 01:00:00+00:00,3.42,-0.05499999999999993,1
CHIPUSDT,tiny,2026-05-13 03:00:00+00:00,3.27,-0.05500000000000004,5
CHIPUSDT,tiny,2026-06-15 04:00:00+00:00,4.08,0.010000000000000123,15
CHZUSDT,small,2025-01-15 23:00:00+00:00,4.11,0.019137931034482917,36
CHZUSDT,small,2025-02-25 07:00:00+00:00,3.67,0.07079175704989138,36
CHZUSDT,small,2025-03-07 20:00:00+00:00,3.87,-0.04892446633825941,36
CHZUSDT,small,2025-04-20 16:00:00+00:00,3.12,-0.02516985138004235,36
CHZUSDT,small,2025-05-06 07:00:00+00:00,3.31,-0.021276703967446627,36
CHZUSDT,small,2025-05-12 18:00:00+00:00,3.05,0.07242514970059888,36
CHZUSDT,small,2025-06-26 02:00:00+00:00,4.68,-0.05500000000000004,11
CHZUSDT,small,2025-07-04 08:00:00+00:00,4.42,-0.02328410689170179,36
CHZUSDT,small,2025-07-14 11:00:00+00:00,3.56,-0.05500000000000004,15
CHZUSDT,small,2025-07-30 13:00:00+00:00,3.26,-0.05499999999999993,35
CHZUSDT,small,2025-08-13 14:00:00+00:00,4.42,-0.05500000000000004,22
CHZUSDT,small,2025-08-14 17:00:00+00:00,3.02,-0.010679012345679025,36
CHZUSDT,small,2025-08-24 19:00:00+00:00,3.03,-0.05500000000000004,15
CHZUSDT,small,2025-08-31 12:00:00+00:00,3.45,-0.05500000000000004,32
CHZUSDT,small,2025-09-18 13:00:00+00:00,3.47,-0.04183241252302016,36
CHZUSDT,small,2025-09-30 10:00:00+00:00,4.37,0.10999999999999999,23
CHZUSDT,small,2025-10-01 11:00:00+00:00,3.12,0.03146659116647788,36
CHZUSDT,small,2025-10-11 01:00:00+00:00,3.51,0.06402804957599473,36
CHZUSDT,small,2025-10-29 18:00:00+00:00,4.19,-0.05500000000000004,18
CHZUSDT,small,2025-11-28 08:00:00+00:00,4.66,0.012201455507773743,36
CHZUSDT,small,2025-12-06 10:00:00+00:00,4.04,0.008201320132013138,36
CHZUSDT,small,2025-12-08 13:00:00+00:00,3.05,0.027880177047107216,36
CHZUSDT,small,2025-12-19 18:00:00+00:00,3.23,0.07623112659698028,36
CHZUSDT,small,2026-01-10 23:00:00+00:00,3.17,-0.05500000000000004,10
CHZUSDT,small,2026-03-03 09:00:00+00:00,3.24,0.02634535367545066,36
CHZUSDT,small,2026-03-28 21:00:00+00:00,3.56,-0.05500000000000004,14
CHZUSDT,small,2026-04-15 18:00:00+00:00,3.65,-0.03953203143605621,36
CHZUSDT,small,2026-04-20 21:00:00+00:00,3.83,-0.006264222503160606,36
DASHUSDT,mid,2025-01-10 22:00:00+00:00,3.23,-0.032084439723844775,36
DASHUSDT,mid,2025-01-16 00:00:00+00:00,3.03,0.08002671076062062,36
DASHUSDT,mid,2025-02-25 07:00:00+00:00,3.37,0.07182418050234152,36
DASHUSDT,mid,2025-03-23 08:00:00+00:00,4.83,0.02830449826989623,36
DASHUSDT,mid,2025-04-28 09:00:00+00:00,5.97,-0.04057974047718715,36
DASHUSDT,mid,2025-05-12 18:00:00+00:00,3.17,0.06015463917525777,36
DASHUSDT,mid,2025-05-30 22:00:00+00:00,3.72,-0.023385650224215234,36
DASHUSDT,mid,2025-06-11 09:00:00+00:00,3.22,-0.05499999999999993,27
DASHUSDT,mid,2025-06-20 17:00:00+00:00,3.27,-0.05500000000000004,28
DASHUSDT,mid,2025-06-30 18:00:00+00:00,3.97,-0.05500000000000004,24
DASHUSDT,mid,2025-07-10 23:00:00+00:00,3.1,0.008475836431226628,36
DASHUSDT,mid,2025-07-13 08:00:00+00:00,3.24,-0.021896398399288582,36
DASHUSDT,mid,2025-07-20 14:00:00+00:00,3.51,-0.010540166204986209,36
DASHUSDT,mid,2025-08-26 15:00:00+00:00,3.75,0.04892156862745079,36
DASHUSDT,mid,2025-09-18 05:00:00+00:00,3.77,-0.03965346534653468,36
DASHUSDT,mid,2025-10-01 13:00:00+00:00,3.11,0.11000000000000021,5
DASHUSDT,mid,2025-10-01 20:00:00+00:00,7.37,0.10999999999999999,9
DASHUSDT,mid,2025-10-02 08:00:00+00:00,3.6,0.10999999999999999,3
DASHUSDT,mid,2025-10-02 14:00:00+00:00,3.8,-0.05500000000000004,1
DASHUSDT,mid,2025-10-02 22:00:00+00:00,3.13,-0.05500000000000004,8
DASHUSDT,mid,2025-11-01 14:00:00+00:00,4.27,0.10999999999999999,16
DASHUSDT,mid,2025-11-04 20:00:00+00:00,3.07,-0.05500000000000004,1
DASHUSDT,mid,2026-01-13 07:00:00+00:00,3.75,0.10999999999999999,3
DASHUSDT,mid,2026-01-13 20:00:00+00:00,3.53,0.10999999999999999,10
DASHUSDT,mid,2026-01-14 13:00:00+00:00,3.51,0.07564150457297425,36
DASHUSDT,mid,2026-04-08 00:00:00+00:00,3.19,-0.024201462968607253,36
DASHUSDT,mid,2026-04-10 12:00:00+00:00,3.16,-0.05500000000000004,2
DASHUSDT,mid,2026-04-11 01:00:00+00:00,3.54,-0.05500000000000004,27
EIGENUSDT,small,2025-01-10 10:00:00+00:00,7.18,-0.05500000000000004,3
EIGENUSDT,small,2025-01-16 05:00:00+00:00,3.08,0.0012874251497007093,36
EIGENUSDT,small,2025-01-19 09:00:00+00:00,3.77,-0.05499999999999993,2
EIGENUSDT,small,2025-05-08 18:00:00+00:00,3.11,0.11000000000000021,2
EIGENUSDT,small,2025-05-08 23:00:00+00:00,4.85,0.10999999999999999,8
EIGENUSDT,small,2025-05-09 09:00:00+00:00,4.08,-0.05500000000000015,7
EIGENUSDT,small,2025-05-09 17:00:00+00:00,3.21,0.10999999999999999,28
EIGENUSDT,small,2025-05-11 00:00:00+00:00,3.22,-0.05500000000000004,7
EIGENUSDT,small,2025-07-17 11:00:00+00:00,3.4,-0.05500000000000004,28
EIGENUSDT,small,2025-08-24 19:00:00+00:00,3.85,-0.05500000000000004,11
EIGENUSDT,small,2025-10-06 16:00:00+00:00,3.35,-0.05500000000000004,7
EIGENUSDT,small,2026-01-13 13:00:00+00:00,3.21,0.05315980629539941,36
EIGENUSDT,small,2026-01-19 08:00:00+00:00,3.26,-0.05500000000000004,32
EIGENUSDT,small,2026-02-06 00:00:00+00:00,3.31,0.10999999999999999,17
EIGENUSDT,small,2026-03-05 13:00:00+00:00,3.27,-0.05499999999999993,25
EIGENUSDT,small,2026-03-15 07:00:00+00:00,3.09,0.10999999999999999,27
EIGENUSDT,small,2026-04-20 07:00:00+00:00,3.23,-0.03984513274336287,36
EIGENUSDT,small,2026-05-05 22:00:00+00:00,4.98,0.06691489361702152,36
EIGENUSDT,small,2026-06-20 10:00:00+00:00,3.26,-0.05499999999999993,3
EIGENUSDT,small,2026-06-21 16:00:00+00:00,4.02,0.009999999999999901,36
ENAUSDT,mid,2025-05-09 05:00:00+00:00,3.25,0.08622716894977167,36
ENAUSDT,mid,2025-05-11 01:00:00+00:00,3.05,-0.05500000000000004,6
ENAUSDT,mid,2025-05-13 19:00:00+00:00,3.28,-0.05500000000000004,13
ENAUSDT,mid,2025-07-20 19:00:00+00:00,3.01,0.10999999999999999,19
ENAUSDT,mid,2025-07-21 16:00:00+00:00,3.13,-0.05500000000000015,4
ENAUSDT,mid,2026-01-05 07:00:00+00:00,3.35,-0.008262642740619938,36
ENAUSDT,mid,2026-01-07 12:00:00+00:00,3.18,-0.05500000000000004,19
ENAUSDT,mid,2026-01-14 06:00:00+00:00,3.28,-0.05500000000000004,7
ENAUSDT,mid,2026-01-30 01:00:00+00:00,3.09,-0.05500000000000004,31
ENAUSDT,mid,2026-02-07 16:00:00+00:00,4.14,-0.05500000000000004,29
ENAUSDT,mid,2026-02-20 07:00:00+00:00,3.19,-0.016775362318840577,36
ENAUSDT,mid,2026-03-26 03:00:00+00:00,3.49,-0.05500000000000004,6
ENAUSDT,mid,2026-05-06 13:00:00+00:00,3.56,-0.023211920529801363,36
ENAUSDT,mid,2026-06-03 09:00:00+00:00,3.62,0.10999999999999999,8
FETUSDT,mid,2025-03-09 23:00:00+00:00,3.36,-0.05499999999999993,18
FETUSDT,mid,2025-04-13 19:00:00+00:00,3.56,-0.05500000000000004,11
FETUSDT,mid,2025-04-20 11:00:00+00:00,3.17,0.05472555746140662,36
FETUSDT,mid,2025-04-22 02:00:00+00:00,3.66,0.05000000000000016,36
FETUSDT,mid,2025-05-23 05:00:00+00:00,3.16,-0.05500000000000004,7
FETUSDT,mid,2025-07-11 06:00:00+00:00,3.12,-0.05500000000000004,16
FETUSDT,mid,2025-09-08 05:00:00+00:00,3.01,-0.011201550387596956,36
FETUSDT,mid,2025-09-17 18:00:00+00:00,3.52,0.03888714733542321,36
FETUSDT,mid,2025-09-30 17:00:00+00:00,4.04,0.07788321167883205,36
FETUSDT,mid,2025-10-10 07:00:00+00:00,3.32,-0.05500000000000004,13
FETUSDT,mid,2025-10-11 07:00:00+00:00,3.0,0.010000000000000123,13
FETUSDT,mid,2025-10-14 10:00:00+00:00,3.61,-0.05500000000000004,9
FETUSDT,mid,2025-11-07 10:00:00+00:00,3.22,0.10999999999999999,4
FETUSDT,mid,2025-11-08 07:00:00+00:00,3.18,0.010000000000000123,8
FETUSDT,mid,2026-01-04 08:00:00+00:00,3.46,0.10999999999999976,19
FETUSDT,mid,2026-01-05 07:00:00+00:00,3.58,0.041604101494612584,36
FETUSDT,mid,2026-03-11 05:00:00+00:00,3.63,0.03948742746615109,36
FETUSDT,mid,2026-03-13 04:00:00+00:00,3.53,-0.05500000000000004,3
FETUSDT,mid,2026-03-15 16:00:00+00:00,3.5,0.10999999999999999,20
FETUSDT,mid,2026-03-16 21:00:00+00:00,4.07,-0.05500000000000004,6
FETUSDT,mid,2026-05-26 00:00:00+00:00,3.15,0.069934497816594,36
FETUSDT,mid,2026-05-30 15:00:00+00:00,3.13,-0.05500000000000015,26
FILUSDT,mid,2025-01-13 09:00:00+00:00,3.19,0.07215937241948789,36
FILUSDT,mid,2025-04-02 20:00:00+00:00,3.11,-0.05500000000000015,2
FILUSDT,mid,2025-04-20 16:00:00+00:00,3.05,-0.05062453253552723,36
FILUSDT,mid,2025-04-23 16:00:00+00:00,3.06,0.022456647398844013,36
FILUSDT,mid,2025-05-09 08:00:00+00:00,4.08,0.04328504828504832,36
FILUSDT,mid,2025-07-11 04:00:00+00:00,3.0,-0.05500000000000015,33
FILUSDT,mid,2025-07-18 10:00:00+00:00,3.48,-0.05500000000000004,10
FILUSDT,mid,2025-07-20 17:00:00+00:00,3.45,-0.041032944406314324,36
FILUSDT,mid,2025-07-30 19:00:00+00:00,3.61,-0.05500000000000004,29
